id;chunk_size;chunk_overlap;top_k;temperature;model;score_f1;score_leyes
1;1024;200;15;0.1;llama3.2:3b;"{""media_score"": 0.78, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1084, ""global_std"": 0.3292, ""tiempo_total_ejecucion_seg"": 98.09}";"{""media_score"": 0.14, ""max_score"": 0.6, ""min_score"": 0.0, ""global_var"": 0.04, ""global_std"": 0.2001, ""tiempo_total_ejecucion_seg"": 306.87}"
2;1024;200;15;0.1;qwen3.5:4b;"{""media_score"": 0.5, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1011, ""global_std"": 0.3179, ""tiempo_total_ejecucion_seg"": 10489.82}";N/A
3;1024;200;15;0.1;llama3.1:8b;"{""media_score"": 0.92, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0171, ""global_std"": 0.1308, ""tiempo_total_ejecucion_seg"": 131.62}";"{""media_score"": 0.41, ""max_score"": 0.7, ""min_score"": 0.17, ""global_var"": 0.0303, ""global_std"": 0.174, ""tiempo_total_ejecucion_seg"": 1574.72}"
4;1024;200;15;0.1;qwen3:8b;"{""media_score"": 0.97, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0109, ""global_std"": 0.1044, ""tiempo_total_ejecucion_seg"": 523.99}";"{""media_score"": 0.24, ""max_score"": 0.6, ""min_score"": 0.0, ""global_var"": 0.0438, ""global_std"": 0.2092, ""tiempo_total_ejecucion_seg"": 4416.64}"
5;1024;200;15;0.1;gemma3:12b;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""tiempo_total_ejecucion_seg"": 229.74}";"{""media_score"": 0.21, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.0868, ""global_std"": 0.2945, ""tiempo_total_ejecucion_seg"": 784.87}"
6;800;100;3;0.1;llama3.1:8b;"{""media_score"": 0.85, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1014, ""global_std"": 0.3184, ""tiempo_total_ejecucion_seg"": 74.43}";"{""media_score"": 0.3, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.0792, ""global_std"": 0.2813, ""tiempo_total_ejecucion_seg"": 108.51}"
7;800;100;3;0.1;qwen3:8b;"{""media_score"": 0.91, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0184, ""global_std"": 0.1357, ""tiempo_total_ejecucion_seg"": 309.77}";"{""media_score"": 0.55, ""max_score"": 1.0, ""min_score"": 0.07, ""global_var"": 0.0982, ""global_std"": 0.3134, ""tiempo_total_ejecucion_seg"": 614.45}"
8;800;100;3;0.1;gemma3:12b;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""tiempo_total_ejecucion_seg"": 137.39}";"{""media_score"": 0.41, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1284, ""global_std"": 0.3583, ""tiempo_total_ejecucion_seg"": 241.86}"
9;800;100;7;0.1;llama3.1:8b;"{""media_score"": 0.87, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.1036, ""global_std"": 0.3218, ""tiempo_total_ejecucion_seg"": 112.42}";"{""media_score"": 0.37, ""max_score"": 0.8, ""min_score"": 0.0, ""global_var"": 0.0757, ""global_std"": 0.2752, ""tiempo_total_ejecucion_seg"": 191.45}"
10;800;100;7;0.1;qwen3:8b;"{""media_score"": 0.95, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0116, ""global_std"": 0.1078, ""tiempo_total_ejecucion_seg"": 397.59}";"{""media_score"": 0.6, ""max_score"": 1.0, ""min_score"": 0.2, ""global_var"": 0.06, ""global_std"": 0.2449, ""tiempo_total_ejecucion_seg"": 781.86}"
11;800;100;7;0.1;gemma3:12b;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""tiempo_total_ejecucion_seg"": 191.59}";"{""media_score"": 0.39, ""max_score"": 1.0, ""min_score"": 0.0, ""global_var"": 0.0997, ""global_std"": 0.3157, ""tiempo_total_ejecucion_seg"": 303.88}"
12;256;50;15;0.1;llama3.1:8b;"{""media_score"": 0.93, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0194, ""global_std"": 0.1391, ""tiempo_total_ejecucion_seg"": 90.06}";N/A
13;256;50;15;0.1;qwen3:8b;"{""media_score"": 0.93, ""max_score"": 1.0, ""min_score"": 0.67, ""global_var"": 0.0194, ""global_std"": 0.1391, ""tiempo_total_ejecucion_seg"": 398.15}";N/A
14;256;50;15;0.1;gemma3:12b;"{""media_score"": 1.0, ""max_score"": 1.0, ""min_score"": 1.0, ""global_var"": 0.0, ""global_std"": 0.0, ""tiempo_total_ejecucion_seg"": 153.98}";N/A
